주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
138-1-000001,송정호안도로,공영,노상,부산광역시 해운대구 송정동 288-44번지 일원,부산광역시 해운대구 송정동 288-44번지 일원,194,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,,8000,,현금,7월~8월 한시적유료운영,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000002,송정 광어골,공영,노상,부산광역시 해운대구 송정동 462번지 일원,부산광역시 해운대구 송정동 462번지 일원,92,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,,8000,,현금,7월~8월 한시적유료운영,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000003,해운대교육지원청주변공영,공영,노상,"부산광역시 해운대구 좌동 1290, 1407-6번지 일원","부산광역시 해운대구 좌동 1290, 1407-6번지 일원",34,2,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,300,10,300,,8000,,현금+카드,,부산광역시 해운대구,051-749-4884,35.17688155,129.1759429,2021.7.22
138-2-000004,죽도공원공영,공영,노외,부산광역시 해운대구 송정동288-2일원,부산광역시 해운대구 송정동288-2일원,27,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,,8000,,현금,7월~8월 한시적유료운영,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-2-000005,반여2동 제1공영,공영,노외,부산광역시 해운대구 재반로211번길 62 (반여동),부산광역시 해운대구 반여2동 1291-1509번지,266,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,35.19571685,129.1273916,2021.7.22
138-2-000006,반여2동 제2공영,공영,노외,부산광역시 해운대구 재반로184번길 31 (반여동),부산광역시 해운대구 반여2동 1291-940번지,234,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,35.19424621,129.1323064,2021.7.22
138-2-000007,반여3동 제2공영,공영,노외,부산광역시 해운대구 재반로282번길 5 (반여동),부산광역시 해운대구 반여3동 1575-93번지,130,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4885,35.20277331,129.1319716,2021.7.22
138-2-000008,반여4동 공영,공영,노외,부산광역시 해운대구 반여동 620-14번지,부산광역시 해운대구 반여3동 1575-93번지,109,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-2-000009,반송1동 제1공영,공영,노외,부산광역시 해운대구 반송순환로 24 (반송동),부산광역시 해운대구 반송1동 745-13번지,304,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,35.22081459,129.146627,2021.7.22
138-2-000010,반송1동 제2공영,공영,노외,부산광역시 해운대구 반송순환로 164 (반송동),부산광역시 해운대구 반송1동 259-86번지,154,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,35.22497776,129.1515028,2021.7.22
138-2-000012,좌동문화원부지 공영,공영,노외,부산광역시 해운대구 좌1동 1458-4번지,부산광역시 해운대구 좌1동 1458-4번지,49,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,500,10,500,,15000,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-2-000013,문탠로드관광 공영,공영,노외,부산광역시 해운대구 중1동 974-1번지,부산광역시 해운대구 중1동 974-1번지,99,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,,8000,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-2-000014,재송2동 공영,공영,노외,부산광역시 해운대구 재송2동 1042-3번지,부산광역시 해운대구 재송2동 1042-3번지,114,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-2-000015,반송2동 공영,공영,노외,부산광역시 해운대구 윗반송로 26,부산광역시 해운대구 반송동 303번지,291,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,35.22964675,129.1518458,2021.7.22
138-2-000016,해월정 달맞이길 공영,공영,노외,부산광역시 해운대구 달맞이길 190 (중동),부산광역시 해운대구 중2동 산42-20번지,56,2,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,300,10,300,,8000,,현금+카드,,부산광역시 해운대구,051-749-4884,35.15768031,129.1825416,2021.7.22
138-2-000017,동백 공영,공영,노외,부산광역시 해운대구 우1동 1151-3번지,부산광역시 해운대구 우1동 1151-3번지,72,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,500,10,500,,15000,,현금+카드,가변급지(1~2),부산광역시 해운대구,051-749-4884,,,2021.7.22
138-2-000018,청사포 공영,공영,노외,부산광역시 해운대구 중동 553번지,부산광역시 해운대구 중동 553번지,113,2,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,10,300,10,300,,8000,,현금+카드,,부산광역시 해운대구,051-749-4885,,,2021.7.22
