,관광지 이름,위도,경도
0,갓바위 문화타운,126.4209824186,34.7936564349
1,고하도 전망대,126.3592243617,34.7779821890
2,고하도 해상테마파크,126.3592243617,34.7779821890
3,고하도이충무공유적,126.3727234446,34.7665225894
4,노적봉,126.3795861253,34.7915893228
5,달성사(목포),126.3753587519,34.7902866227
6,멜라콩다리 비석,126.3863994382,34.7904978905
7,목포 갓바위,126.4250320655,34.7934648561
8,목포 관광특구,126.3735866789,34.7906226670
9,목포 서산동 보리마당&시화마을,126.3773226716,34.7817848341
10,목포 스카이워크,126.3673595194,34.7877673311
11,목포 오포대,126.3763447457,34.7915364978
12,목포 해상케이블카,126.3700534460,34.7994160626
13,목포대교,126.3604293086,34.7988937425
14,목포시사,126.3773085853,34.7900561250
15,목포역(철도체험학습장),126.3865966277,34.7911422655
16,목포연안여객선터미널,126.3841915033,34.7820488058
17,목포평화광장,126.4338006577,34.7967007465
18,삼학도,126.3913686456,34.7820933627
19,삼학도크루즈,126.3881328503,34.7808712258
20,오거리문화센터(구 동본원사 목포별원),126.3842968662,34.7896785040
21,외달도,126.2963937134,34.7817112990
22,외달도 해수욕장,126.2941828235,34.7806419384
23,유달산,126.3713590096,34.7942722193
24,유달산 달성공원,126.3737365739,34.7944083539
25,유달산 조각공원,126.3737365739,34.7944083539
26,이난영의 목포의 눈물 노래비,126.3742644776,34.7872480580
27,이훈동 정원,126.3799528579,34.7874953454
28,일제강점기 건축물들,126.3817999111,34.7877370151
29,춤추는 바다분수,126.4306953255,34.7987976814
