,정류장이름,정류장ID,위도,경도
0,성원아트빌,MPB111200021,34.8072411,126.4181054
1,하당동주민센터,MPB111200022,34.8081326,126.4200014
2,이마트,MPB111200024,34.8117169,126.4239747
3,청호시장입구,MPB111200025,34.814472,126.421995
4,성신고등학교,MPB111200027,34.817387,126.411595
5,유달산입구,MPB111200052,34.78638,126.378543
6,아리랑고개,MPB111200053,34.784503,126.376585
7,서산초등학교후문,MPB111200054,34.782467,126.373938
8,신안군교육청,MPB111200059,34.785003,126.38144
9,중앙새마을금고,MPB111200066,34.79251,126.393107
10,상동초등학교,MPB111200080,34.813613,126.413902
11,항도여중,MPB111200081,34.815278,126.412947
12,청호시장입구,MPB111200083,34.814522,126.421735
13,우성아파트,MPB111200089,34.8019259,126.4205875
14,초원아파트,MPB111200091,34.800868,126.424543
15,제일3차아파트,MPB111200100,34.812982,126.428202
16,청호시장,MPB111200102,34.816413,126.423362
17,하당보건소,MPB111900022,34.816843,126.425787
18,제일3차후문,MPB111900024,34.8121162,126.4278344
19,성원아트빌,MPB111900028,34.807398,126.417945
20,영흥중고등학교,MPB111900029,34.804891,126.4184914
21,목포소방서육교,MPB111900032,34.8079291,126.4295231
22,대불역,MPB111900040,34.773117,126.418677
23,용당부두,MPB111900041,34.771135,126.404348
24,용당부두입구,MPB111900042,34.769057,126.39905
25,모밀항,MPB111900043,34.7537326,126.3880368
26,현대삼호중공업입구,MPB111900044,34.750238,126.386182
27,해남광장,MPB111900048,34.720267,126.385775
28,금호검문소,MPB111900049,34.712145,126.377822
29,금호,MPB111900050,34.695953,126.36644
30,별암,MPB111900052,34.696417,126.340715
31,저상,MPB111900053,34.697523,126.334447
32,평지,MPB111900054,34.6950501,126.3322158
33,해남구지,MPB111900055,34.689948,126.33007
34,화원초등학교,MPB111900057,34.6744745,126.3338112
35,화원터미널,MPB111900058,34.668405,126.329882
36,화원면화원장,MPB111900059,34.666953,126.327723
37,이목,MPB111900061,34.645707,126.316932
38,무고승강장,MPB111900063,34.62603,126.31263
39,이목,MPB111900065,34.651447,126.319078
40,화원면화원장,MPB111900066,34.667025,126.327747
41,화원터미널,MPB111900067,34.6681508,126.3297744
42,평지,MPB111900071,34.695077,126.332092
43,저상,MPB111900072,34.6973933,126.3345248
44,별암,MPB111900073,34.6963479,126.3408313
45,금호,MPB111900075,34.695713,126.366498
46,금호검문소,MPB111900076,34.712425,126.378168
47,해남광장,MPB111900077,34.720328,126.385952
48,용당부두입구,MPB111900082,34.768633,126.399256
49,용당부두,MPB111900083,34.7706629,126.4060042
50,대불역,MPB111900084,34.773043,126.419142
51,만남의폭포,MPB111900092,34.803938,126.438677
52,목포소방서육교,MPB111900094,34.808241,126.4291091
53,포르모,MPB111900095,34.8066321,126.4256042
54,하당동주민센터,MPB111900099,34.808328,126.419913
55,이마트,MPB111900101,34.810955,126.425398
56,유달유원지,MPB113000005,34.787876,126.3673782
