,축제이름,기간,장소
0,"전주 한옥마을 경기전 ""왕과의 산책"" 2018",기간 : 2018년 5월 12일~11월 3일 / 20:00~21:40,장소 : 전라북도 전주시
1,전주비빔밥축제 2018,기간 : 2018.10. 25(목)~28(일) / 09:00~22:00,장소 : 전라북도 전주시
2,전주세계소리축제 2018,기간 : 2018.10.3(수)~10.7(일) / 09:00~21:00,장소 : 전라북도 전주시
3,"전주 한옥마을 경기전 ""왕과의 산책"" 2018","기간 : 매주 토요일 총 17회 (7월 21일, 7월 28일, 8월 4일, 8월 11일 행사없음)",장소 : 전라북도 전주시
4,전주 문화재야행 2018,기간 : 9. 14~15  / 18:00~26:00,장소 : 전라북도 전주시
5,전주명품 복숭아 큰잔치 2018,기간 : 2018.07.24~2018.07.25,장소 : 전라북도 전주시
6,전주대사습놀이 2018,기간 : 2018. 6. 15. ~ 2018. 6. 18. / 10:00~22:00,장소 : 전라북도 전주시
7,전주단오 2018,기간 : 2018.06.17~2018.06.18 / 10:00~20:00,장소 : 전라북도 전주시
8,전주 문화재야행 2018,기간 : 2018. 5.25~26  / 18:00~26:00,장소 : 전라북도 전주시
9,전주국제영화제 2018,기간 : 2018.05.03~2018.05.12,장소 : 전라북도 전주시
10,전주 한지문화축제 2018,기간 : 2018.05.05~2018.05.07,장소 : 전라북도 전주시
11,국립전주박물관 어린이축제 2018,기간 : 2018.05.05 / 10:00 ~ 18:00,장소 : 전라북도 전주시
