,관광지 이름,위도,경도
0,건지산,127.1391338273,35.8513293678
1,경기전,127.1498643734,35.8152058871
2,관성묘,127.1610833184,35.7961332505
3,남고사(전주),127.1589500803,35.7997439139
4,남천교 청연루,127.1531753073,35.8107203432
5,다가공원,127.1377932551,35.8140613627
6,덕진공원,127.1218687977,35.8475156135
7,동고사(전주),127.1677212648,35.8095957238
8,동고산성,127.1729902131,35.8106429186
9,동락원,127.1529168367,35.8168446419
10,반곡서원(진주),127.1557196066,35.8076151849
11,불정사(전주),127.1579695397,35.8025213588
12,선린사(전주),127.1686681343,35.8198501293
13,승암사(전주),127.1642354769,35.8090735002
14,약수암(전주),127.1583906107,35.8450776364
15,예종대왕태실 및 비,127.1499976990,35.8150475742
16,오목대와 이목대,127.1549167326,35.8140088883
17,오송제,127.1366809902,35.8619308970
18,완산칠봉(완산공원),127.1424042181,35.8040348058
19,용강서원,127.0401730930,35.8552827595
20,자만마을 벽화갤러리,127.1572165278,35.8140450355
21,장현식고택,127.1566555025,35.8126451848
22,전주 남고산성,127.1581474630,35.7963415092
23,전주 동문예술거리,127.1498197769,35.8211690965
24,전주 산성벽화마을,127.1572165278,35.8140450355
25,전주 초코파이 체험장,127.1529723096,35.8198054175
26,전주 풍남문,127.1486672969,35.8137060365
27,전주 풍패지관 (전주객사),127.1451286034,35.8182860101
28,전주동물원,127.1456331460,35.8552623666
29,전주동헌,127.1566555025,35.8126451848
30,전주목판서화체험관,127.1556500663,35.8115147404
31,전주전동성당,127.1492172583,35.8133088689
32,전주전통한지원,127.1535251414,35.8158780959
33,전주한옥마을 임실치즈체험장,127.1516474539,35.8187999532
34,전주한옥마을 전주김치문화관,127.1529112583,35.8177334298
35,전주한옥마을 [슬로시티],127.1536778411,35.8183333748
36,전주향교,127.1572360194,35.8121730261
37,정혜사(전주),127.1391517230,35.8043013857
38,조경단,127.1363368480,35.8515654042
39,천양정,127.1379682019,35.8155112011
40,청하서원,127.0850022052,35.7574835502
41,충경사,127.1569223410,35.8051793719
42,치명자산성지,127.1673435504,35.8084514028
43,학소암(전주),127.1455821604,35.7868979209
44,한국도로공사수목원,127.0537992436,35.8711228582
45,한벽당,127.1608384836,35.8118786778
46,화산서원비,127.1300577870,35.8157943652
47,황강서원,127.1038125497,35.8292368258
