,정류장이름,정류장ID,위도,경도
0,송천동성원무지개아파트,JUB306101333,35.86543274,127.12181954
1,전북자동차학원,JUB306101334,35.8656265,127.16047943
2,전북자동차학원,JUB306101335,35.86564054,127.16027593
3,덕동,JUB306101336,35.86582356,127.01386496
4,덕동,JUB306101337,35.86584684,127.01375475
5,월드컵경기장남문,JUB306101339,35.86608324,127.06384918
6,송천롯데아파트,JUB306101341,35.8661518,127.11470965
7,송천현대아파트,JUB306101342,35.86617907,127.12706103
8,부동마을,JUB306101343,35.86626607,127.04621871
9,송천현대아파트,JUB306101344,35.8662239,127.12733436
10,부동마을,JUB306101345,35.866307,127.04608744
11,월드컵경기장남문,JUB306101346,35.86631184,127.06381593
12,호성진흥3단지,JUB306101347,35.86634247,127.14731266
13,차량등록사업소,JUB306101348,35.86637629,127.14774518
14,송천롯데아파트,JUB306101349,35.86671868,127.11441981
15,대한산업보건협회.푸른솔아파트,JUB306101352,35.86722828,127.07484278
16,조촌초교,JUB306101353,35.8692523,127.077388
17,감수리,JUB306101354,35.86663278,127.09991732
18,감수리,JUB306101355,35.86702965,127.09995713
19,호남제일문,JUB306101356,35.86762751,127.07153191
20,농수산시장 내,JUB306101357,35.86778567,127.11694495
21,호남제일문,JUB306101359,35.86776036,127.07112831
22,대한산업보건협회.푸른솔아파트,JUB306101362,35.867854,127.07449234
23,송천주공아파트,JUB306101363,35.86783705,127.12751278
24,농수산시장 내,JUB306101364,35.86798443,127.11700919
25,남정리,JUB306101365,35.86804929,127.0180281
26,남정리,JUB306101366,35.86805192,127.01779306
27,조촌초교,JUB306101368,35.86812128,127.0779079
28,송천주공아파트,JUB306101369,35.86810687,127.12722076
29,청복마을입구,JUB306101372,35.86839608,127.04728204
30,청복마을입구,JUB306101373,35.86845692,127.04716206
31,화정마을,JUB306101374,35.86866252,127.14291558
32,배미실새터,JUB306101375,35.86891125,127.15962099
33,화정마을,JUB306101376,35.86917679,127.14196852
34,배미실새터,JUB306101377,35.86917369,127.15973188
35,대송장례식장,JUB306101380,35.8694636,127.1355747
36,농수산시장.메가박스,JUB306101381,35.86879,127.1147298
37,농수산시장.메가박스,JUB306101382,35.86897,127.1146514
38,청복,JUB306101383,35.8702016,127.0393473
39,분내마을,JUB306101384,35.8696382,127.1351696
40,청복,JUB306101387,35.8703278,127.0393466
41,새전주요양병원,JUB306101392,35.87073024,127.07310765
42,새전주요양병원,JUB306101393,35.87076042,127.07280948
43,발단마을,JUB306101395,35.8713261,127.114969
44,여의동전북은행.농협,JUB306101400,35.8709944,127.07692636
45,여의동전북은행.농협,JUB306101402,35.87118379,127.07686164
46,발단마을,JUB306101403,35.8714139,127.1148112
47,초포삼거리,JUB306101406,35.87126792,127.15812863
48,여의동우체국전북은행,JUB306101407,35.8714162,127.07658384
49,초포삼거리,JUB306101408,35.87143892,127.15838306
50,한국도로공사 전주수목원,JUB306101409,35.8720635,127.0534636
51,한국도로공사 전주수목원,JUB306101410,35.87270421,127.05029419
52,여의동우체국,JUB306101411,35.8723613,127.07591729
53,송천정보학교,JUB306101413,35.8757968,127.1262834
54,용흥마을,JUB306101414,35.87312102,127.11370259
55,여의우신아파트,JUB306101415,35.87328843,127.08146851
56,용흥마을,JUB306101416,35.87323252,127.11376208
57,여의우신아파트,JUB306101417,35.8734283,127.08138291
58,완주로고당마을,JUB306101418,35.87349615,127.15109312
59,송천정보학교,JUB306101419,35.8762709,127.127112
60,전주IC,JUB306101420,35.8737809,127.06045605
61,반월주공아파트.오네뜨아파트,JUB306101421,35.87383249,127.07261016
62,반월동 삼오아파트,JUB306101423,35.87385833,127.07013771
63,반월주공아파트.오네뜨아파트,JUB306101425,35.87412321,127.07245896
64,반월동 삼오아파트,JUB306101426,35.8741509,127.07016309
65,전주IC,JUB306101427,35.87426676,127.06047522
66,초포로고당마을,JUB306101428,35.8741145,127.1506003
67,cbs기독교방송,JUB306101433,35.87469125,127.05519734
68,완주로고당마을,JUB306101435,35.87479333,127.15177921
69,번영로용덕마을,JUB306101436,35.87489681,127.05010024
70,비행장,JUB306101437,35.87487833,127.11327864
71,화정리,JUB306101438,35.8749265,127.1415904
72,비행장,JUB306101439,35.87492509,127.113504
